公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
招商银行股份有限公司,招商银行,2000人以上,上市公司,福田区,大数据分析岗（风险管理）,应届毕业生,本科,15k-20k,"发展空间大,岗位晋升"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,25924-HY-数据分析开发工程师（深圳）,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SNG_BI_高级数据分析师,3-5年,本科,20k-40k,"良好的氛围,机会多,业务范围广"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,投资孵化中心大数据分析师（深圳）,3-5年,本科,15k-30k,"腾讯大平台,福利待遇佳"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,微信搜索数据分析工程师,不限,本科,20k-40k,"技术大牛多,福利好"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,HY2-高级数据分析开发工程师（深圳）,3-5年,本科,18k-30k,"五险一金,绩效奖金,带薪休假"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,风控（海外）策略及数据分析工程师（深圳）,3-5年,硕士,25k-40k,"氛围和谐,福利齐全,长期激励,年度旅游"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,18402-暗黑类手游数据分析和挖掘,3-5年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,18402-【侍魂】手游数据分析,3-5年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,移动游戏高级数据分析师,3-5年,本科,18k-30k,"绩效奖金,五险一金,带薪休假"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,移动游戏高级数据分析师,3-5年,本科,18k-30k,"绩效奖金,五险一金,带薪休假"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,18402-次世代高自由度MMORPG手游数据分析,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,21228-女性向游戏数据分析（深圳）,1-3年,本科,15k-30k,"免费班车,带薪年假,零食水果"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,微信搜索推荐数据分析工程师（深圳）,3-5年,本科,20k-35k,"技术大牛多,福利好,工作氛围好"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,腾讯-王者荣耀电竞市场数据分析（深圳）,3-5年,本科,15k-30k,"腾讯工作,环境一流,大牛带领,温馨文化"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SA-腾讯社交广告数据分析师 （深圳 ）,1-3年,本科,20k-30k,氛围好
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SA-腾讯社交广告数据分析工程师（微信广告 深圳）,1-3年,本科,18k-36k,鹅厂福利
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,SA-腾讯社交广告数据分析工程师（微信广告方向）,1-3年,本科,18k-36k,"鹅厂福利,最多5个字,最多5个字,最多5个字"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,23517-《仙侠类MMO》手游数据分析师,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,25926-用户画像大数据分析工程师（深圳）,1-3年,本科,15k-30k,"五险一金,带薪休假,绩效奖金,扁平管理"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,福田区,贷后高级数据分析师,1-3年,本科,10k-20k,绩效奖金，五险一金，节日福利
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,商业数据分析-经理,5-10年,本科,20k-30k,"企业文化,职业发展,薪酬福利,工作环境"
沃尔玛（中国）投资有限公司,Walmart China,2000人以上,上市公司,福田区,电商数据分析师,1-3年,本科,6k-7k,"五百强外资,工作氛围好,晋升渠道广"
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,00386-数据分析经理,3-5年,本科,15k-20k,核心产品
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,高级数据分析师（广告业务）,3-5年,本科,14k-25k,"D轮+,14薪+,大数据平台,弹性工作"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,数据分析主管（广告业务）,3-5年,本科,20k-30k,"D轮+,14薪+,大数据平台,弹性工作"
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,数据分析主管（市场）,3-5年,本科,20k-25k,"公司平台大,发展前景好,福利待遇好,部门氛围好"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,罗湖区,数据分析（信审）,1-3年,本科,8k-15k,"数据挖掘,数据分析"
深圳市中安信业创业投资有限公司,中安信业,2000人以上,不需要融资,福田区,高级数据分析师（数据建模方向）,3-5年,本科,15k-25k,"平台成熟,发展空间广"
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,高级数据分析师（金融APP方向）,3-5年,本科,15k-25k,"D轮+,大数据平台,14薪+,弹性工作"
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,BI数据分析师,3-5年,本科,15k-30k,"新加坡公司,东南亚电商,15天年假,大牛多"
广东欧珀移动通信有限公司,OPPO,2000人以上,不需要融资,南山区,高级广告数据分析师,3-5年,本科,20k-40k,核心事业群 千万级日活 氛围好 组织扁平
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,南山区,数据分析运营助理,1-3年,本科,6k-7k,"免费早晚餐,上市公司,年终奖,节日福利"
深圳达飞金融控股有限公司,达飞金控,2000人以上,不需要融资,福田区,数据分析经理（风控）,5-10年,本科,20k-35k,专业风控团队，发展平台大，节日福利
深圳依时货拉拉科技有限公司,货拉拉手机打车软件,500-2000人,C轮,福田区,数据分析专员（人力资源方向）(J10953),1-3年,本科,6k-9k,"年终奖,五险一金,下午茶,旅游"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,19116-腾讯觅影数据分析高级产品经理（深圳）,3-5年,本科,15k-30k,"大平台,大咖多,大空间,前景广阔"
深圳市随手科技有限公司,随手科技,500-2000人,C轮,南山区,数据分析师（贷款营销方向）,1-3年,本科,8k-16k,"互联网金融,平台好,福利优厚,氛围好"
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,大数据分析工程师,3-5年,本科,15k-30k,"五险一金,员工旅游,弹性工作,项目奖金"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,MIG07-安全大数据分析（深圳）,3-5年,本科,15k-30k,"免费班车,免费夜宵,优秀团队"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,南山区,MIG07-安全大数据分析（深圳）,1-3年,本科,18k-36k,"大平台,新领域,大咖多"
