公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
深圳市前海汇流信息科技有限公司,前海汇流,50-150人,A轮,南山区,Python研发工程师,1-3年,本科,13k-25k,"五险一金,年终奖,土豪奖金,国内外旅游","['1', '3']",2.0,"['13', '25']",16.0
上海炽聚网络科技有限公司,上海炽聚,50-150人,A轮,南山区,Python开发工程师,1-3年,本科,12k-20k,"热点行业，五险一金，待遇从优,BAT工作机会","['1', '3']",2.0,"['12', '20']",14.0
行云智能（深圳）技术有限公司,行云智能,15-50人,天使轮,南山区,Python开发工程师,1-3年,本科,10k-20k,"扁平化管理,周末双休,年终奖,发展空间大","['1', '3']",2.0,"['10', '20']",12.5
乐格商业咨询（深圳）有限公司,乐格信息,150-500人,A轮,福田区,Python高级开发工程师,3-5年,本科,16k-28k,"精英团队,个人成长,外企文化,创业精神","['3', '5']",4.0,"['16', '28']",19.0
深圳众禄基金销售股份有限公司,众禄基金,150-500人,上市公司,罗湖区,Python开发工程师,1-3年,本科,18k-30k,"新三板挂牌,团队氛围,金融中心","['1', '3']",2.0,"['18', '30']",21.0
深圳市盖威科技有限公司,盖威,150-500人,不需要融资,南山区,Python交易开发工程师,3-5年,本科,14k-20k,福利待遇好,"['3', '5']",4.0,"['14', '20']",15.5
深圳匠鑫智能网络科技有限公司,深圳匠鑫智能,50-150人,A轮,南山区,高级Python工程师,3-5年,本科,10k-20k,"创业团队,分红,期权","['3', '5']",4.0,"['10', '20']",12.5
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,福田区,后台开发（python）工程师,3-5年,本科,12k-14k,"上市公司,大型项目,办公环境好,五险一金","['3', '5']",4.0,"['12', '14']",12.5
深圳市博奥特科技有限公司,博奥特科技,150-500人,未融资,福田区,中高级python开发工程师,3-5年,大专,15k-30k,发展前景好,"['3', '5']",4.0,"['15', '30']",18.75
深圳米筐科技有限公司,米筐 (Ricequant),50-150人,A轮,南山区,运维工程师/Python工程师,1-3年,本科,8k-12k,"双休,带薪年假,有猫,不打卡","['1', '3']",2.0,"['8', '12']",9.0
深圳华大基因股份有限公司,华大股份,2000人以上,上市公司,盐田区,Python开发工程师,3-5年,本科,12k-20k,"IT+BI,大数据,团队好,氛围好","['3', '5']",4.0,"['12', '20']",14.0
翼果（深圳）科技有限公司,翼果科技,15-50人,天使轮,南山区,Python后台工程师(科技园),1-3年,本科,15k-30k,"氛围好,快速扩展期,福利多","['1', '3']",2.0,"['15', '30']",18.75
智言科技(深圳)有限公司,智言科技,50-150人,A轮,南山区,高级Python开发工程师,5-10年,本科,15k-25k,"海归团队,股票期权,成长空简大,福利待遇优","['5', '10']",7.5,"['15', '25']",17.5
深圳亚联财小额贷款有限公司,亚联财小额贷款,500-2000人,不需要融资,福田区,python工程师,1-3年,本科,7k-12k,"五险一金,年终奖金,年底花红,年度调薪","['1', '3']",2.0,"['7', '12']",8.25
深圳市编玩边学教育科技有限公司,编玩边学,50-150人,B轮,南山区,课程设计师（python）,1-3年,本科,7k-12k,"五险一金,餐饮补贴,节日福利,办公零食","['1', '3']",2.0,"['7', '12']",8.25
心灵失重（北京）科技有限公司,糗事百科,150-500人,A轮,南山区,Python,3-5年,本科,15k-30k,老司机来开车,"['3', '5']",4.0,"['15', '30']",18.75
深圳市无极云区块链互联网技术开发有限公司,无极云区块链,50-150人,不需要融资,南山区,GO+Python,3-5年,本科,15k-25k,"linux,mysql,redis,GO","['3', '5']",4.0,"['15', '25']",17.5
深圳小步网络科技有限公司,小步网络,15-50人,B轮,宝安区,Python后台开发工程师,3-5年,本科,15k-30k,"待遇优厚,成长空间大,弹性上班,下午茶","['3', '5']",4.0,"['15', '30']",18.75
深圳派鲜科技有限公司,派鲜,150-500人,B轮,南山区,Python开发,3-5年,本科,10k-14k,"优秀团队,五险一金,免费班车,周末双休","['3', '5']",4.0,"['10', '14']",11.0
深圳市南方网通信息技术有限公司,南方网通,150-500人,A轮,南山区,Python高级开发工程师,3-5年,本科,10k-20k,"提供住宿,五险一金,员工旅游,带薪年假","['3', '5']",4.0,"['10', '20']",12.5
深圳市悦动天下科技有限公司,悦动,50-150人,C轮,南山区,python后台开发工程师,1-3年,本科,9k-18k,"水果+零食,技术分享,福利待遇好,发展很好","['1', '3']",2.0,"['9', '18']",11.25
华润置地有限公司,华润置地,2000人以上,上市公司,南山区,数据工程师（Python）,3-5年,本科,12k-24k,"500强,创新业务,福利好","['3', '5']",4.0,"['12', '24']",15.0
深圳市泽林信息咨询有限公司,泽林信息,500-2000人,不需要融资,南山区,Python讲师,3-5年,大专,16k-30k,"技术提升,学习机会多,氛围好","['3', '5']",4.0,"['16', '30']",19.5
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,福田区,高级Python开发工程师,1-3年,本科,15k-23k,"大牛多,公司氛围好,周末双休,成长快","['1', '3']",2.0,"['15', '23']",17.0
深圳市斯凯荣科技有限公司,skyroam,150-500人,C轮,南山区,Python开发工程师,3-5年,本科,10k-15k,"带薪年假,弹性工作,专业培训,五险一金","['3', '5']",4.0,"['10', '15']",11.25
深圳市易博天下科技有限公司,易博天下,150-500人,上市公司,南山区,Python开发工程师,1-3年,大专,13k-25k,平台好 高速增长 股票期权 创业团队,"['1', '3']",2.0,"['13', '25']",16.0
北京千锋互联科技有限公司,千锋教育,500-2000人,A轮,南山区,Python讲师,3-5年,大专,20k-40k,"五险一金,绩效奖金,朝九晚六,周末双休","['3', '5']",4.0,"['20', '40']",25.0
深圳市前海富甲金融信息有限公司,富甲金融,50-150人,A轮,南山区,Python,1-3年,本科,10k-17k,"待遇好,福利好,领导好,氛围好","['1', '3']",2.0,"['10', '17']",11.75
信必优(深圳)信息技术有限公司,Symbio-Freeborders,2000人以上,未融资,罗湖区,Python开发工程师(国信证券-乙方),5-10年,大专,15k-19k,"外资平台大,项目好,福利待遇好,双休","['5', '10']",7.5,"['15', '19']",16.0
